Feature,deepseek-r1_32b,gpt-oss_120b,gpt-oss_20b,qwen3_32b
H0_count,0.001 (0.001),0.001 (0.001),0.001*** (0.000),0.001 (0.001)
H0_total_life,-0.003 (0.008),0.002 (0.003),-0.008** (0.003),0.001 (0.010)
H0_max_life,-1.784 (1.628),0.241 (1.550),1.445 (1.170),-0.637 (1.370)
H0_mean_life,2.817 (2.109),0.151 (1.255),2.926*** (1.106),0.693 (2.652)
H0_entropy,-0.308 (0.264),-0.215 (0.211),-0.033 (0.201),-0.404 (0.454)
H0_skewness,-0.048 (0.129),0.016 (0.083),-0.072 (0.075),-0.108 (0.137)
H0_max_birth,0.000 (0.000),0.000 (0.000),-0.000*** (0.000),-0.000 (0.000)
H0_max_death,-1.784 (1.628),0.241 (1.550),1.445 (1.170),-0.637 (1.370)
H1_count,0.000 (0.002),-0.003** (0.001),-0.001 (0.001),-0.000 (0.002)
H1_total_life,-0.010 (0.042),0.021 (0.025),0.038 (0.025),0.034 (0.058)
H1_max_life,-0.444 (0.400),-0.183 (0.404),-0.080 (0.320),-0.064 (0.360)
H1_mean_life,0.451 (5.578),0.744 (2.848),-6.106* (3.523),1.281 (7.466)
H1_entropy,0.137 (0.111),0.022 (0.082),-0.040 (0.074),0.020 (0.142)
H1_skewness,0.072 (0.047),0.018 (0.035),-0.033 (0.028),0.014 (0.034)
H1_max_birth,0.006 (0.349),0.806** (0.345),-0.471* (0.261),0.358 (0.356)
H1_max_death,-0.318 (0.387),-0.553 (0.400),0.274 (0.310),-0.704 (0.447)
H0_betti_peak,0.001 (0.001),0.001 (0.001),0.001*** (0.000),0.001 (0.001)
H0_betti_location,0.410 (2.139),0.863 (1.519),3.465** (1.367),1.842 (2.867)
H0_betti_width,-1.041** (0.495),0.163 (0.414),0.207 (0.391),0.067 (0.556)
H0_betti_centroid,-3.136 (4.432),-1.873 (3.127),-6.112** (2.754),-3.588 (5.879)
H0_betti_spread,2.205 (4.553),1.599 (2.964),8.403*** (2.766),3.201 (5.731)
H0_betti_trend,-0.455 (0.806),0.284 (0.638),-0.359 (0.551),0.418 (0.811)
H1_betti_peak,0.002 (0.002),0.004** (0.002),0.001 (0.001),-0.004* (0.002)
H1_betti_location,0.017 (0.075),0.103 (0.082),0.006 (0.085),-0.180** (0.087)
H1_betti_width,0.052 (0.047),0.050 (0.044),0.179*** (0.051),-0.019 (0.053)
H1_betti_centroid,0.043 (0.161),-0.059 (0.147),-0.089 (0.156),-0.006 (0.209)
H1_betti_spread,-0.169 (0.293),0.765** (0.324),-0.732** (0.332),0.547 (0.376)
H1_betti_trend,-0.034 (0.043),0.000 (0.040),-0.041 (0.036),0.084* (0.045)
H0_landscape_mean,-0.297 (0.271),0.040 (0.258),0.241 (0.195),-0.106 (0.228)
H0_landscape_max,-0.892 (0.814),0.120 (0.775),0.722 (0.585),-0.319 (0.685)
H0_landscape_area,9.302 (9.937),-2.477 (9.242),-9.673 (7.012),3.432 (7.791)
H1_landscape_mean,0.454 (1.888),-4.186** (1.893),-2.205 (1.518),0.473 (2.239)
H1_landscape_max,-0.222 (0.200),-0.091 (0.202),-0.040 (0.160),-0.032 (0.180)
H1_landscape_area,-1.863 (3.791),2.403 (3.592),1.006 (3.201),-4.851 (3.562)
const,2.844 (1.835),0.966 (1.662),-1.133 (1.198),3.439 (2.756)
